created_at,entry_id,field1,field2
2017-04-05 00:36:49 UTC,1,4,0
2017-04-05 00:37:09 UTC,2,3,0
2017-04-05 00:40:38 UTC,3,3,0
2017-04-05 00:41:02 UTC,4,4,0
2017-04-05 00:42:32 UTC,5,3,0
2017-04-05 00:45:11 UTC,6,1,0
2017-04-05 00:50:20 UTC,7,3,0
2017-04-05 00:50:57 UTC,8,1,0
2017-04-05 00:54:37 UTC,9,2,0
2017-04-05 01:06:04 UTC,10,1,0
2017-04-05 01:15:47 UTC,11,0,0
2017-04-05 01:36:21 UTC,12,3,0
2017-04-05 01:47:43 UTC,13,0,0
2017-04-05 01:50:21 UTC,14,0,0
2017-04-05 01:51:36 UTC,15,2,0
2017-04-05 01:54:21 UTC,16,4,0
2017-04-05 01:55:15 UTC,17,2,0
2017-04-05 02:02:10 UTC,18,3,0
2017-04-05 02:41:41 UTC,19,0,0
2017-04-05 02:42:57 UTC,20,2,0
2017-04-05 02:46:25 UTC,21,4,0
2017-04-05 02:46:40 UTC,22,3,0
2017-04-05 02:56:42 UTC,23,1,0
2017-04-05 03:11:51 UTC,24,0,0
2017-04-05 03:12:06 UTC,25,2,0
2017-04-05 03:12:21 UTC,26,1,0
2017-04-05 03:12:36 UTC,27,3,0
2017-04-05 03:12:51 UTC,28,0,0
2017-04-05 03:13:06 UTC,29,1,0
2017-04-05 03:13:21 UTC,30,2,0
2017-04-05 03:13:36 UTC,31,4,0
2017-04-05 03:13:51 UTC,32,1,0
2017-04-05 03:14:07 UTC,33,3,0
2017-04-05 03:14:22 UTC,34,3,0
2017-04-05 04:55:36 UTC,35,0,0
2017-04-05 07:24:06 UTC,36,2,0
2017-04-05 08:36:19 UTC,37,2,0
2017-04-05 08:46:25 UTC,38,1,0
2017-04-05 10:41:10 UTC,39,0,0
2017-04-05 10:52:06 UTC,40,1,0
2017-04-05 11:25:29 UTC,41,2,0
2017-04-05 11:37:16 UTC,42,3,0
2017-04-05 11:45:28 UTC,43,4,0
2017-04-05 11:55:48 UTC,44,0,0
2017-04-05 12:34:35 UTC,45,3,0
2017-04-05 12:40:36 UTC,46,2,0
2017-04-05 12:54:40 UTC,47,0,0
2017-04-05 12:57:38 UTC,48,4,0
2017-04-05 12:59:24 UTC,49,2,0
2017-04-05 13:02:39 UTC,50,4,0
2017-04-05 13:09:07 UTC,51,2,0
2017-04-05 13:22:22 UTC,52,2,0
2017-04-05 13:28:42 UTC,53,0,0
2017-04-05 13:37:40 UTC,54,0,0
2017-04-05 13:38:12 UTC,55,4,0
2017-04-05 13:38:27 UTC,56,1,0
2017-04-05 13:39:15 UTC,57,1,0
2017-04-05 13:46:11 UTC,58,1,0
2017-04-05 13:46:30 UTC,59,0,0
2017-04-05 13:53:51 UTC,60,2,0
2017-04-05 14:04:11 UTC,61,2,0
2017-04-05 14:19:25 UTC,62,2,0
2017-04-05 14:32:17 UTC,63,3,0
2017-04-05 14:42:03 UTC,64,1,0
2017-04-05 14:45:11 UTC,65,4,0
2017-04-05 14:46:25 UTC,66,3,0
2017-04-05 14:47:48 UTC,67,1,0
2017-04-05 14:54:36 UTC,68,2,0
2017-04-05 15:01:37 UTC,69,2,0
2017-04-05 15:10:00 UTC,70,2,0
2017-04-05 15:26:10 UTC,71,3,0
2017-04-05 15:32:53 UTC,72,3,0
2017-04-05 15:35:06 UTC,73,1,0
2017-04-05 15:35:41 UTC,74,4,0
2017-04-05 15:38:27 UTC,75,0,0
2017-04-05 15:46:24 UTC,76,2,0
2017-04-05 15:47:44 UTC,77,0,0
2017-04-05 15:48:13 UTC,78,2,0
2017-04-05 15:48:29 UTC,79,1,0
2017-04-05 15:48:59 UTC,80,2,0
2017-04-05 15:50:15 UTC,81,2,0
2017-04-05 15:56:33 UTC,82,0,0
2017-04-05 15:56:51 UTC,83,4,0
2017-04-05 15:59:52 UTC,84,3,0
2017-04-05 16:00:11 UTC,85,4,0
2017-04-05 16:00:41 UTC,86,4,0
2017-04-05 16:01:21 UTC,87,2,0
2017-04-05 16:01:37 UTC,88,1,0
2017-04-05 16:04:38 UTC,89,0,0
2017-04-05 16:05:10 UTC,90,3,0
2017-04-05 16:05:26 UTC,91,3,0
2017-04-05 16:07:55 UTC,92,2,0
2017-04-05 16:08:10 UTC,93,2,0
2017-04-05 16:10:44 UTC,94,2,0
2017-04-05 16:15:34 UTC,95,4,0
2017-04-05 16:20:23 UTC,96,1,0
2017-04-05 16:26:23 UTC,97,3,0
2017-04-05 16:28:02 UTC,98,2,0
2017-04-05 16:30:07 UTC,99,3,0
2017-04-05 16:35:56 UTC,100,2,0
2017-04-05 16:36:26 UTC,101,2,0
2017-04-05 16:41:49 UTC,102,0,0
2017-04-05 16:42:12 UTC,103,1,0
2017-04-05 16:44:08 UTC,104,2,0
2017-04-05 16:47:43 UTC,105,3,0
2017-04-05 16:49:48 UTC,106,0,0
2017-04-05 16:51:30 UTC,107,4,0
2017-04-05 16:56:48 UTC,108,3,0
2017-04-05 17:04:07 UTC,109,3,0
2017-04-05 17:04:50 UTC,110,4,0
2017-04-05 17:05:08 UTC,111,3,0
2017-04-05 17:06:57 UTC,112,1,0
2017-04-05 17:09:16 UTC,113,1,0
2017-04-05 17:10:41 UTC,114,2,0
2017-04-05 17:22:52 UTC,115,2,0
2017-04-05 17:32:59 UTC,116,4,0
2017-04-05 17:34:02 UTC,117,2,0
2017-04-05 17:35:12 UTC,118,4,0
2017-04-05 17:39:59 UTC,119,2,0
2017-04-05 17:41:44 UTC,120,1,0
2017-04-05 17:42:29 UTC,121,4,0
2017-04-05 17:43:38 UTC,122,3,0
2017-04-05 17:44:55 UTC,123,2,0
2017-04-05 17:48:04 UTC,124,1,0
2017-04-05 17:56:57 UTC,125,0,0
2017-04-05 18:03:28 UTC,126,0,0
2017-04-05 18:07:14 UTC,127,4,0
2017-04-05 18:13:12 UTC,128,1,0
2017-04-05 18:16:03 UTC,129,3,0
2017-04-05 18:18:20 UTC,130,3,0
2017-04-05 18:19:27 UTC,131,4,0
2017-04-05 18:25:28 UTC,132,2,0
2017-04-05 18:25:48 UTC,133,1,0
2017-04-05 18:29:13 UTC,134,1,0
2017-04-05 18:30:33 UTC,135,0,0
2017-04-05 18:38:33 UTC,136,4,0
2017-04-05 18:42:34 UTC,137,0,0
2017-04-05 18:43:39 UTC,138,2,0
2017-04-05 18:55:33 UTC,139,0,0
2017-04-05 19:10:06 UTC,140,4,0
2017-04-05 19:14:53 UTC,141,1,0
2017-04-05 19:20:33 UTC,142,0,0
2017-04-05 19:26:18 UTC,143,1,0
2017-04-05 19:29:54 UTC,144,4,0
2017-04-05 19:37:57 UTC,145,0,0
2017-04-05 19:44:38 UTC,146,2,0
2017-04-05 19:50:37 UTC,147,3,0
2017-04-05 19:58:45 UTC,148,4,0
2017-04-05 20:00:44 UTC,149,3,0
2017-04-05 20:00:59 UTC,150,4,0
2017-04-05 20:01:18 UTC,151,3,0
2017-04-05 20:08:25 UTC,152,2,0
2017-04-05 20:12:37 UTC,153,2,0
2017-04-05 20:13:18 UTC,154,3,0
2017-04-05 20:15:24 UTC,155,3,0
2017-04-05 20:17:55 UTC,156,2,0
2017-04-05 20:18:35 UTC,157,1,0
2017-04-05 20:22:38 UTC,158,2,0
2017-04-05 20:22:54 UTC,159,0,0
2017-04-05 20:23:28 UTC,160,4,0
2017-04-05 20:23:46 UTC,161,3,0
2017-04-05 20:24:25 UTC,162,2,0
2017-04-05 20:26:23 UTC,163,2,0
2017-04-05 20:32:34 UTC,164,0,0
2017-04-05 20:33:19 UTC,165,0,0
2017-04-05 20:34:03 UTC,166,4,0
2017-04-05 20:36:26 UTC,167,0,0
2017-04-05 20:36:42 UTC,168,0,0
2017-04-05 20:38:06 UTC,169,3,0
2017-04-05 20:41:05 UTC,170,2,0
2017-04-05 20:42:00 UTC,171,0,0
2017-04-05 20:43:09 UTC,172,3,0
2017-04-05 20:46:52 UTC,173,2,0
2017-04-05 20:54:49 UTC,174,2,0
2017-04-05 20:59:44 UTC,175,4,0
2017-04-05 21:06:56 UTC,176,3,0
2017-04-05 21:07:33 UTC,177,3,0
2017-04-05 21:07:51 UTC,178,3,0
2017-04-05 21:08:22 UTC,179,4,0
2017-04-05 21:12:34 UTC,180,0,0
2017-04-05 21:15:18 UTC,181,2,0
2017-04-05 21:20:05 UTC,182,1,0
2017-04-05 21:20:37 UTC,183,4,0
2017-04-05 21:39:18 UTC,184,1,0
2017-04-05 21:42:42 UTC,185,0,0
2017-04-05 21:55:15 UTC,186,0,0
2017-04-05 21:56:46 UTC,187,0,0
2017-04-05 21:57:28 UTC,188,0,0
2017-04-05 21:58:55 UTC,189,0,0
2017-04-05 22:09:37 UTC,190,0,0
2017-04-05 22:10:27 UTC,191,2,0
2017-04-05 22:12:00 UTC,192,4,0
2017-04-05 22:20:18 UTC,193,0,0
2017-04-05 22:20:34 UTC,194,0,0
2017-04-05 22:20:53 UTC,195,0,0
2017-04-05 22:23:12 UTC,196,4,0
2017-04-05 22:32:23 UTC,197,4,0
2017-04-05 22:36:31 UTC,198,1,0
2017-04-05 22:37:09 UTC,199,4,0
2017-04-05 22:38:10 UTC,200,4,0
2017-04-05 22:40:26 UTC,201,0,0
2017-04-05 22:50:36 UTC,202,4,0
2017-04-05 22:51:21 UTC,203,2,0
2017-04-05 23:14:20 UTC,204,2,0
2017-04-05 23:17:21 UTC,205,3,0
2017-04-05 23:17:36 UTC,206,2,0
2017-04-05 23:25:49 UTC,207,3,0
2017-04-05 23:32:56 UTC,208,2,0
2017-04-05 23:33:54 UTC,209,2,0
2017-04-05 23:34:34 UTC,210,2,0
2017-04-05 23:36:33 UTC,211,2,0
2017-04-05 23:37:58 UTC,212,3,0
2017-04-05 23:38:51 UTC,213,2,0
2017-04-05 23:39:06 UTC,214,4,0
2017-04-05 23:39:29 UTC,215,4,0
2017-04-05 23:41:03 UTC,216,0,0
2017-04-05 23:41:18 UTC,217,0,0
2017-04-05 23:41:40 UTC,218,2,0
2017-04-05 23:45:23 UTC,219,0,0
2017-04-05 23:45:53 UTC,220,4,0
2017-04-05 23:49:49 UTC,221,4,0
2017-04-06 00:00:10 UTC,222,3,0
2017-04-06 00:05:10 UTC,223,0,0
2017-04-06 00:09:13 UTC,224,1,0
2017-04-06 00:10:07 UTC,225,2,0
2017-04-06 00:10:29 UTC,226,0,0
2017-04-06 00:11:58 UTC,227,0,0
2017-04-06 00:14:59 UTC,228,2,0
2017-04-06 00:18:42 UTC,229,2,0
2017-04-06 00:21:03 UTC,230,4,0
2017-04-06 00:22:06 UTC,231,2,0
2017-04-06 00:24:20 UTC,232,2,0
2017-04-06 00:27:29 UTC,233,2,0
2017-04-06 00:29:48 UTC,234,3,0
2017-04-06 00:30:48 UTC,235,2,0
2017-04-06 00:31:59 UTC,236,4,0
2017-04-06 00:35:28 UTC,237,0,0
2017-04-06 00:36:03 UTC,238,4,0
2017-04-06 00:36:45 UTC,239,0,0
2017-04-06 00:42:57 UTC,240,2,0
2017-04-06 00:43:23 UTC,241,3,0
2017-04-06 00:43:58 UTC,242,0,0
2017-04-06 00:46:15 UTC,243,0,0
2017-04-06 00:59:55 UTC,244,4,0
2017-04-06 01:00:12 UTC,245,3,0
2017-04-06 01:05:58 UTC,246,3,0
2017-04-06 01:09:13 UTC,247,3,0
2017-04-06 01:10:07 UTC,248,1,0
2017-04-06 01:12:16 UTC,249,1,0
2017-04-06 01:12:52 UTC,250,1,0
2017-04-06 01:13:08 UTC,251,2,0
2017-04-06 01:15:41 UTC,252,2,0
2017-04-06 01:16:03 UTC,253,0,0
2017-04-06 01:20:42 UTC,254,2,0
2017-04-06 01:37:28 UTC,255,1,0
2017-04-06 01:37:44 UTC,256,3,0
2017-04-06 01:46:49 UTC,257,4,0
2017-04-06 01:49:10 UTC,258,3,0
2017-04-06 02:00:00 UTC,259,2,0
2017-04-06 02:12:06 UTC,260,3,0
2017-04-06 02:20:41 UTC,261,2,0
2017-04-06 02:42:38 UTC,262,3,0
2017-04-06 03:07:52 UTC,263,2,0
2017-04-06 03:09:02 UTC,264,0,0
2017-04-06 03:56:02 UTC,265,2,0
2017-04-06 08:47:14 UTC,266,0,0
2017-04-06 09:13:56 UTC,267,0,0
2017-04-06 09:53:01 UTC,268,0,0
2017-04-06 10:01:58 UTC,269,3,0
2017-04-06 11:50:27 UTC,270,3,0
2017-04-06 11:50:52 UTC,271,4,0
2017-04-06 11:51:58 UTC,272,1,0
2017-04-06 12:06:55 UTC,273,1,0
2017-04-06 12:20:15 UTC,274,1,0
2017-04-06 12:20:31 UTC,275,0,0
2017-04-06 12:21:02 UTC,276,2,0
2017-04-06 12:45:40 UTC,277,1,0
2017-04-06 12:54:03 UTC,278,4,0
2017-04-06 13:00:15 UTC,279,2,0
2017-04-06 13:00:49 UTC,280,4,0
2017-04-06 13:02:09 UTC,281,3,0
2017-04-06 13:10:05 UTC,282,3,0
2017-04-06 13:10:58 UTC,283,0,0
2017-04-06 13:29:50 UTC,284,1,0
2017-04-06 13:31:27 UTC,285,1,0
2017-04-06 13:42:54 UTC,286,2,0
2017-04-06 13:45:00 UTC,287,4,0
2017-04-06 13:45:18 UTC,288,3,0
2017-04-06 13:46:14 UTC,289,2,0
2017-04-06 13:47:54 UTC,290,0,0
2017-04-06 13:48:25 UTC,291,2,0
2017-04-06 13:56:36 UTC,292,2,0
2017-04-06 14:01:17 UTC,293,1,0
2017-04-06 14:16:20 UTC,294,4,0
2017-04-06 14:17:12 UTC,295,1,0
2017-04-06 14:23:20 UTC,296,0,0
2017-04-06 14:27:40 UTC,297,0,0
2017-04-06 14:28:31 UTC,298,2,0
2017-04-06 14:28:50 UTC,299,1,0
2017-04-06 14:33:51 UTC,300,3,0
2017-04-06 14:34:30 UTC,301,1,0
2017-04-06 14:40:06 UTC,302,2,0
2017-04-06 14:40:53 UTC,303,4,0
2017-04-06 14:44:38 UTC,304,0,0
2017-04-06 14:46:22 UTC,305,3,0
2017-04-06 14:46:41 UTC,306,3,0
2017-04-06 14:48:44 UTC,307,0,0
2017-04-06 14:49:03 UTC,308,4,0
2017-04-06 14:50:55 UTC,309,3,0
2017-04-06 14:51:50 UTC,310,4,0
2017-04-06 14:52:44 UTC,311,4,0
2017-04-06 14:53:57 UTC,312,0,0
